,Missing Count,Missing %
REF-O3,165,2.575710271620356
REF-CO,138,2.1542304089915705
REF-NO2,162,2.528879175772713
REF-SO2,263,4.105526069310022
REF-PM2.5,159,2.4820480799250704
REF-PM10,160,2.497658445207618
REF-RH,105,1.6390883546674992
REF-AMB_TEMP,113,1.7639712769278801
SGX-O3,744,11.614111770215423
SGX-CO,744,11.614111770215423
SGX-NO2,744,11.614111770215423
SGX-SO2,744,11.614111770215423
SPEC-O3,1178,18.389010302841086
SPEC-CO,1178,18.389010302841086
SPEC-NO2,1178,18.389010302841086
SPEC-SO2,1178,18.389010302841086
